depute,groupe,position,scrutin_id
gerard-bapt,SRC,pour,1
christian-bataille,SRC,pour,1
patrick-bloche,SRC,pour,1
jean-christophe-cambadelis,SRC,pour,1
laurent-cathala,SRC,pour,1
jean-paul-chanteguet,SRC,pour,1
guy-michel-chauveau,SRC,pour,1
jean-louis-destans,SRC,pour,1
michel-destot,SRC,pour,1
rene-dosiere,SRC,pour,1
laurence-dumont,SRC,pour,1
yves-durand,SRC,pour,1
henri-emmanuelli,SRC,pour,1
michel-francaix,SRC,pour,1
jerome-lambert,SRC,pour,1
jean-luc-laurent,SRC,pour,1
gilbert-le-bris,SRC,pour,1
jean-yves-le-deaut,SRC,pour,1
jean-marie-le-guen,SRC,pour,1
francois-loncle,SRC,pour,1
thierry-mandon,SRC,pour,1
alain-rodet,SRC,pour,1
rene-rouquet,SRC,pour,1
daniel-vaillant,SRC,pour,1
michel-vauzelle,SRC,pour,1
philip-cordery,SRC,pour,1
yves-goasdoue,SRC,pour,1
monique-rabin,SRC,pour,1
frederique-massat,SRC,pour,1
vincent-burroni,SRC,pour,1
jean-jacques-urvoas,SRC,pour,1
luce-pane,SRC,pour,1
sandrine-hurel,SRC,pour,1
gisele-biemouret,SRC,pour,1
laurent-baumel,SRC,pour,1
michel-vergnier,SRC,pour,1
jean-glavany,SRC,pour,1
serge-janquin,SRC,pour,1
elisabeth-guigou,SRC,pour,1
eric-jalton,SRC,pour,1
michel-pajon,SRC,pour,1
estelle-grelier,SRC,pour,1
sylvie-andrieux,SRC,pour,1
jean-paul-bacquet,SRC,pour,1
dominique-baert,SRC,pour,1
jean-pierre-blazy,SRC,pour,1
daniel-boisserie,SRC,pour,1
francois-brottes,SRC,pour,1
christophe-caresche,SRC,pour,1
alain-claeys,SRC,pour,1
marie-francoise-clergeau,SRC,pour,1
jean-pierre-dufau,SRC,pour,1
jean-paul-dupre,SRC,pour,1
philippe-duron,SRC,pour,1
christian-franqueville,SRC,pour,1
yann-galut,SRC,pour,1
francoise-imbert,SRC,pour,1
conchita-lacuey,SRC,pour,1
bruno-le-roux,SRC,pour,1
michel-liebgott,SRC,pour,1
martine-lignieres-cassou,SRC,pour,1
philippe-nauche,SRC,pour,1
christian-paul,SRC,pour,1
germinal-peiro,SRC,pour,1
jean-claude-perez,SRC,pour,1
genevieve-gaillard,SRC,pour,1
marie-line-reynaud,SRC,pour,1
marcel-rogemont,SRC,pour,1
bernard-roman,SRC,pour,1
odile-saugues,SRC,pour,1
pascal-terrasse,SRC,pour,1
fabrice-verdier,SRC,pour,1
armand-jung,SRC,pour,1
patrick-lemasle,SRC,pour,1
christian-assaf,SRC,pour,1
sylviane-alaux,SRC,pour,1
philippe-martin,SRC,pour,1
richard-ferrand,SRC,pour,1
yann-capet,SRC,pour,1
thomas-thevenoud,SRC,pour,1
corinne-erhel,SRC,pour,1
christophe-leonard,SRC,pour,1
erwann-binet,SRC,pour,1
christophe-sirugue,SRC,pour,1
jean-launay,SRC,pour,1
pascale-boistard,SRC,pour,1
gilles-savary,SRC,pour,1
jean-yves-caullet,SRC,pour,1
dominique-chauvel,SRC,pour,1
jean-claude-fruteau,SRC,pour,1
brigitte-bourguignon,SRC,pour,1
nicolas-bays,SRC,pour,1
philippe-baumel,SRC,pour,1
dominique-raimbourg,SRC,pour,1
martine-carrillon-couvreur,SRC,pour,1
kleber-mesquida,SRC,pour,1
patricia-adam,SRC,pour,1
jean-yves-le-bouillonnec,SRC,pour,1
annick-lepetit,SRC,pour,1
gabrielle-louis-carabin,SRC,pour,1
david-habib,SRC,pour,1
gwendal-rouillard,SRC,pour,1
william-dumas,SRC,pour,1
jean-louis-bricout,SRC,pour,1
patrick-lebreton,SRC,pour,1
herve-feron,SRC,pour,1
martine-martinel,SRC,pour,1
monique-iborra,SRC,pour,1
michel-issindou,SRC,pour,1
pascal-deguilhem,SRC,pour,1
jacqueline-maquet,SRC,pour,1
christian-hutin,SRC,pour,1
guy-chambefort,SRC,pour,1
bernard-lesterlin,SRC,pour,1
olivier-dussopt,SRC,pour,1
daniel-goldberg,SRC,pour,1
marietta-karamanli,SRC,pour,1
jean-michel-villaume,SRC,pour,1
guy-delcourt,SRC,pour,1
marc-goua,SRC,pour,1
jacques-valax,SRC,pour,1
catherine-coutelle,SRC,pour,1
sandrine-mazetier,SRC,pour,1
jean-michel-clement,SRC,pour,1
pascale-got,SRC,pour,1
pierre-alain-muet,SRC,pour,1
jean-louis-touraine,SRC,pour,1
jean-grellier,SRC,pour,1
christophe-bouillon,SRC,pour,1
martine-faure,SRC,pour,1
alain-rousset,SRC,pour,1
pascale-crozon,SRC,pour,1
catherine-quere,SRC,pour,1
marie-odile-bouille,SRC,pour,1
catherine-lemorton,SRC,pour,1
jean-patrick-gille,SRC,pour,1
marie-lou-marcel,SRC,pour,1
serge-letchimy,SRC,pour,1
chantal-berthelot,SRC,pour,1
henri-jibrayel,SRC,pour,1
philippe-plisson,SRC,pour,1
regis-juanico,SRC,pour,1
jean-louis-gagnaire,SRC,pour,1
annick-le-loch,SRC,pour,1
jean-rene-marsac,SRC,pour,1
michel-menard,SRC,pour,1
martine-pinville,SRC,pour,1
jean-jacques-cottel,SRC,pour,1
olivier-faure,SRC,pour,1
francois-pupponi,SRC,pour,1
colette-langlade,SRC,pour,1
marie-noelle-battistel,SRC,pour,1
sophie-dessus,SRC,pour,1
carole-delga,SRC,pour,1
marie-francoise-bechtel,SRC,pour,1
gilbert-sauvan,SRC,pour,1
christophe-castaner,SRC,pour,1
karine-berger,SRC,pour,1
jean-david-ciot,SRC,pour,1
sabine-buis,SRC,pour,1
alain-faure,SRC,pour,1
marie-helene-fabre,SRC,pour,1
patrick-mennucci,SRC,pour,1
suzanne-tallard,SRC,pour,1
kheira-bouziane-laroussi,SRC,pour,1
michel-lesage,SRC,pour,1
viviane-le-dissez,SRC,pour,1
annie-le-houerou,SRC,pour,1
laurent-grandguillaume,SRC,pour,1
clotilde-valter,SRC,pour,1
alain-calmette,SRC,pour,1
francoise-dumas,SRC,pour,1
patrice-prat,SRC,pour,1
barbara-romagnan,SRC,pour,1
nathalie-nieson,SRC,pour,1
jean-luc-bleunven,SRC,pour,1
chantal-guittet,SRC,pour,1
sandrine-doucet,SRC,pour,1
anne-yvonne-le-dain,SRC,pour,1
fanny-dombre-coste,SRC,pour,1
frederic-roig,SRC,pour,1
marie-recalde,SRC,pour,1
florent-boudie,SRC,pour,1
christophe-borgel,SRC,pour,1
joelle-huillier,SRC,pour,1
denys-robiliard,SRC,pour,1
sebastien-denaja,SRC,pour,1
patrick-vignal,SRC,pour,1
marie-anne-chapdelaine,SRC,pour,1
nathalie-appere,SRC,pour,1
francois-andre,SRC,pour,1
isabelle-bruneau,SRC,pour,1
valerie-corre,SRC,pour,1
lucette-lousteau,SRC,pour,1
matthias-fekl,SRC,pour,1
luc-belot,SRC,pour,1
yves-daniel,SRC,pour,1
sophie-errante,SRC,pour,1
herve-pellois,SRC,pour,1
jean-pierre-le-roch,SRC,pour,1
philippe-nogues,SRC,pour,1
stephane-travert,SRC,pour,1
chaynesse-khirouni,SRC,pour,1
dominique-potier,SRC,pour,1
jean-pierre-allossery,SRC,pour,1
anne-lise-dufour-tonini,SRC,pour,1
laurent-kalinowski,SRC,pour,1
paola-zanetti,SRC,pour,1
audrey-linkenheld,SRC,pour,1
remi-pauvros,SRC,pour,1
jacques-cresta,SRC,pour,1
segolene-neuville,SRC,pour,1
pierre-aylagas,SRC,pour,1
christine-pires-beaune,SRC,pour,1
nathalie-chabanne,SRC,pour,1
yves-blein,SRC,pour,1
edith-gueugneau,SRC,pour,1
cecile-untermaier,SRC,pour,1
pascal-cherki,SRC,pour,1
francoise-dubois,SRC,pour,1
beatrice-santais,SRC,pour,1
bernadette-laclais,SRC,pour,1
seybah-dagoma,SRC,pour,1
catherine-troallic,SRC,pour,1
eduardo-rihan-cypel,SRC,pour,1
sylviane-bulteau,SRC,pour,1
hugues-fourage,SRC,pour,1
francoise-descamps-crosnier,SRC,pour,1
linda-gourjade,SRC,pour,1
valerie-rabault,SRC,pour,1
michele-fournier-armand,SRC,pour,1
malek-boutih,SRC,pour,1
alexis-bachelay,SRC,pour,1
maud-olivier,SRC,pour,1
catherine-beaubatie,SRC,pour,1
jean-jacques-bridey,SRC,pour,1
julie-sommaruga,SRC,pour,1
mathieu-hanotin,SRC,pour,1
razzy-hammadi,SRC,pour,1
elisabeth-pochon,SRC,pour,1
pascal-popelin,SRC,pour,1
serge-bardy,SRC,pour,1
philippe-bies,SRC,pour,1
philippe-kemel,SRC,pour,1
emeric-brehier,SRC,pour,1
boinali-said,SRC,pour,1
jean-claude-buisine,SRC,pour,1
sebastien-pietrasanta,SRC,pour,1
gerard-sebaoun,SRC,pour,1
dolores-roque,SRC,pour,1
dominique-lefebvre,SRC,pour,1
jean-marc-germain,SRC,pour,1
ericka-bareigts,SRC,pour,1
helene-geoffroy,SRC,pour,1
jean-jacques-vlody,SRC,pour,1
monique-orphe,SRC,pour,1
michel-pouzol,SRC,pour,1
ibrahim-aboubacar,SRC,pour,1
joaquim-pueyo,SRC,pour,1
colette-capdevielle,SRC,pour,1
philippe-doucet,SRC,pour,1
axelle-lemaire,SRC,pour,1
arnaud-leroy,SRC,pour,1
pierre-yves-le-borgn,SRC,pour,1
daphna-poznanski-benhamou,SRC,pour,1
corinne-narassiguin,SRC,pour,1
pouria-amirshahi,SRC,pour,1
patrick-balkany,UMP,contre,1
jean-michel-couve,UMP,contre,1
olivier-dassault,UMP,contre,1
bernard-debre,UMP,contre,1
patrick-devedjian,UMP,contre,1
christian-estrosi,UMP,contre,1
francois-fillon,UMP,contre,1
denis-jacquat,UMP,contre,1
christian-kert,UMP,contre,1
marc-laffineur,UMP,contre,1
pierre-lequiller,UMP,contre,1
jean-francois-mancel,UMP,contre,1
alain-marleix,UMP,contre,1
alain-moyne-bressand,UMP,contre,1
patrick-ollier,UMP,contre,1
jean-luc-reitzer,UMP,contre,1
guy-teissier,UMP,contre,1
michel-terrot,UMP,contre,1
michel-voisin,UMP,contre,1
nicole-ameline,UMP,contre,1
